标记	英文	音标	中文
	flare	flZE	n.闪光, 闪耀vi.闪光, 突然烧起来, 闪耀vt.使闪耀, 使张开
	flash	flAF	[计]Macromedia 公司开发的动画编辑工具n.闪光, 闪现, 一瞬间vi.闪光, 闪现, 反射, 使迅速传便vt.使闪光, 反射adj.闪光的, 火速的
	flat	flAt	adj.平坦的, 扁平的, 单调的, 倒下的, 浅的, 干脆的, 无聊的, 无力的adv.平直地, 仰卧地, 恰恰, 正好, 断然地n.平面, 平地, 一层, 公寓v.(使)变平, (使)降半音
	flatter	5flAtE	vt.过分夸赞, 奉承, 阿谀, 使高兴, 使满意, (画, 肖像上的形象)胜过(真人或实物)
	flavor	5fleivE	n.情味, 风味, 滋味, 香料vt.加味于
	flavour	5fleivE	n.滋味, 香味
	flaw	flC:	n.缺点, 裂纹, 瑕疵, 一阵狂风vt.使破裂, 使有缺陷, 使无效vi.生裂缝, 变的有缺陷
	flee	fli:	vt.逃避, 逃跑, 逃走vi.消散, 逃, 消失
	fleet	fli:t	n.舰队(尤指有固定活动地区的舰队), 港湾, 小河adj.快速的, 敏捷的, 浅的adv.浅vt.消磨vi.疾驰, 飞逝, 掠过
	flesh	fleF	n.肉, (供食用的)兽肉, 肉体, 肉欲, 果肉, 蔬菜的嫩部, 亲属, 人体vt.以肉喂(猎犬等), 使肥, 赋以血肉vi.长胖
	flexible	5fleksEbl	adj.柔韧性, 易曲的, 灵活的, 柔软的, 能变形的, 可通融的
	flight	flait	n.飞行, 逃走, 飞跃, 飞机的航程, 班机, 追逐, 楼梯的一段, 射程vi.成群飞行, 迁徙vt.射击(飞禽), 使惊飞
	fling	fliN	n.投, 掷, 猛冲, 暴躁的行动, 急冲, 嘲弄, 讥笑vt.猛投, 抛, 掷, 使陷入, 挥动, 嘲笑, 扫视vi.猛冲, 直冲, 急行
	float	flEut	n.漂流物, 浮舟, 漂浮, 浮萍, 彩车vi.浮动, 飘浮, 散播, 摇摆, 漂浮, 动摇(计划等)付诸实行vt.使漂浮, 容纳, 淹没, 发行, 实行, 用水注满
	flock	flCk	n.羊群, (禽、畜等的)群, 大量, 众多v.聚结
	flood	flQd	n.洪水, 水灾, (因雨)涨潮, [诗]水vt.淹没, 使泛滥, 注满, 充满vi.被水淹, 溢出, 涌进, 喷出, 涌出
	floor	flC:, flCE	n.(房间, 走廊等的)地面, 地板, 基底, (室内的)场地, 层, 海底, 议员席vt.在...上铺(地板), 击倒, (被困难)难倒
	flour	5flauE	n.面粉
	flourish	5flQriF	vi.繁荣, 茂盛, 活跃, 手舞足蹈, 兴旺, 处于旺盛时期vt.挥动, 夸耀n.茂盛, 兴旺, 华饰, 繁荣
	flow	flEu	n.流程, 流动, (河水)泛滥, 洋溢vi.流动, 涌流, 川流不息, 飘扬vt.溢过, 淹没
	flower	5flauE	n.花, 开花的植物, 花卉, 精华, 盛时vi.开花, 旺盛, 成熟vt.用花装饰, 使开花
	flu	flu:	n.流感
	fluctuate	5flQktjueit	vi.变动, 波动, 涨落, 上下, 动摇vt.使动摇, 使波动, 使起伏
	fluent	5flu(:)Ent	adj.流利的, 流畅的
	fluid	5flu(:)id	n.流动性, 流度adj.流动的, 不固定的, 可改变的, 可另派用场的, 流畅的
	flush	flQF	n.奔流, 晕红, 激动, 萌芽, 活力旺盛, 发烧, 一手同花的五张牌, 惊鸟adj.挥霍的, 直接的, 丰足的, 泛滥的adv.齐平地, 直接地vi.(脸)发红, 奔涌, 充沛, 惊飞vt.淹没, 冲洗, 使脸红, 使齐平, 使惊飞, 使激动
	fly	flai	n.苍蝇, 两翼昆虫, 飞行vi.飞翔, 飘扬, 溃逃vt.飞越, 使飘扬, 逃脱adj.机敏的, 敏捷的
	foam	fEum	n.泡沫, 水沫, 泡沫材料, 泡沫橡皮, 泡沫塑料vi.起泡沫, 冒汗水, 吐白沫vt.使起泡沫
	focus	5fEukEs	n.(兴趣活动等的)中心, 焦点, 焦距, [医]病灶, [地](地震的)震源vi.聚焦, 注视vt.使集中在焦点上, 定焦点, 调焦, 集中
	fog	fC^	n.雾, 烟雾, 尘雾, 迷惑, 苔藓vi.被雾笼罩, 变模糊vt.使困惑, 以雾笼罩
	fold	fEuld	n.折, 羊栏, 折痕, 信徒vt.折叠, 包, 合拢, 抱住, 笼罩, 调入, 交迭vi.折叠起来, 彻底失败
	folk	fEuk	n.人们, 亲属(复数), 民族adj.民间的
	follow	5fClEu	vt.跟随, 追随, 沿...而行, 理解, 遵循, 从事, 追求, 注视vi.跟随, 接着n.跟随, 追随
	following	5fClEuiN	n.下列各项, 部下, 党羽adj.下列的, 其次的prep.在...之后
	fond	fCnd	adj.[只作表语]喜爱的, 多情的, 喜欢的, 宠爱的, 温柔的
	food	fu:d	n.食物, 养料
	fool	fu:l	n.愚人, 白痴, 莽汉, 受骗者, 奶油拌水果vt.愚弄, 欺骗, 浪费vi.干傻事, 开玩笑, 游荡adj.傻的
	foolish	5fu:liF	adj.愚蠢的, 傻的, 笨的, 卤莽的, 可爱的
	foot	fut	n.足, 底部, 英尺, 音步(英诗), 步调, 步兵, 末尾vt.走在...上, 支付, 给...换底, 结算vi.步行, 跳舞, 总计
	football	5futbC:l	n.足球, 橄榄球
	footstep	5futstep	n.脚步, 脚步声, 一步跨出去的距离
	for	" fE;fC:;"	prep.(表示目的)为了, 因为, 至于, 对于, 适合于conj.因为
	forbid	fE5bid	vt.禁止, 不许v.禁止
	force	fC:s	n.力量, 武力, 精力, 魄力, 势力, 暴力, [复]军队, 影响力vt.强制, 强加, (用武力)夺取, 促使, 推动, 施加压力
	fore	" fCE;fC:;"	adj.在前部的, 以前的adv.在前面, 在船头n.前部, 船头prep.在前
	forecast	5fC:kB:st	n.先见, 预见, 预测, 预报vt.预想, 预测, 预报, 预兆
	forehead	5fCrid, 5fC:hed	n.前额, (任何事物的)前部
	foreign	5fCrin	adj.外国的, 外交的, 外国产的, 外来的, [医]异质的, 不相关的
	foreigner	5fCrinE	n.外国人, 外地人
	foremost	5fC:mEust	adj.(位置或时间)最先的, 最初的, 最重要的adv.首要地, 首先
	foresee	fC:5si:	vt.预见, 预知
	forest	5fCrist	n.森林, 林木, <英>御猎场adj.森林的, 住在森林中的vt.植树于
	forever	fE5revE	adv.永远, 永恒, 永久, 常常, 始终
	forge	fC:dV	v.稳步前进, 铸造, 伪造
	forget	fE5^et	vt.忘记, 忽略vi.忘记, 忘形, 忘乎所以
	forgive	fE5^iv	vt.原谅, 饶恕, 宽免(某人)之债务
	fork	fC:k	n.叉, 耙, 叉形物, 餐叉
	form	fC:m	n.形状, 形态, 外形, 表格, 形式v.形成, 构成, 排列, (使)组成
	formal	5fC:mEl	adj.外形的, 正式的, 合礼仪的, 形式的, 整齐匀称的n.正式的社交活动
	format	5fC:mAt, -mB:t	n.开本, 版式, 形式, 格式vt.安排...的格局(或规格), [计]格式化(磁盘)
	formation	fC:5meiFEn	n.形成, 构成, 编队
	former	5fC:mE	adj.从前的, 以前的n.形成者, 创造者, 模型, 样板
	formidable	5fC:midEbl	adj.强大的, 令人敬畏的, 可怕的, 艰难的
	formula	5fC:mjulE	n.公式, 规则, 客套语
	formulate	5fC:mjuleit	vt.用公式表示, 明确地表达, 作简洁陈述v.阐明
	forth	fC:W	adv.往前, 向外
	forthcoming	fC:W5kQmiN	adj.即将来临的n.来临
	fortnight	5fC:tnait	n.两星期
	fortunate	5fC:tFEnit	adj.幸运的, 幸福的
	fortune	5fC:tFEn	n.财富, 运气, 大量财产, 好运, 命运vt.<古>偶然发生vt.给...以大宗财富
	forty	5fC:ti	num.四十, 40n.四十岁
	forum	5fC:rEm	n.古罗马城镇的广场(或市场), 论坛, 法庭, 讨论会
	forward	5fC:wEd	adj.早的, 迅速的, 前进的vt.转寄, 促进, 运送adv.向前地, 向将来n.[体](足球等)前锋
	fossil	5fCsl	n.化石, 僵化的事物adj.化石的, 陈腐的, 守旧的
	foster	5fCstE	vt.养育, 抚育, 培养, 鼓励, 抱(希望) n.养育者, 鼓励者
	foul	faul	adj.污秽的, 邪恶的, 肮脏的, 淤塞的, 恶劣的vt.弄脏, 妨害, 污蔑, 犯规, 淤塞vi.腐烂, 犯规, 缠结n.犯规, 缠绕adv.违反规则地, 不正当地
	found	faund	v.建立, 创立, 创办, 使有根据, 铸造, 熔制
	foundation	faun5deiFEn	n.基础, 根本, 建立, 创立, 地基, 基金, 基金会
	fountain	5fauntin	n.泉水, 喷泉, 源泉
	four	fC:	num.四, 四个, 第四(卷,章,叶等)
	fourteen	5fC:5ti:n	num.十四
	fox	fC:ks	n.狐狸, 狐皮, 狡猾的人vi.奸狡地行动, 变酸vt.使变酸, 使生黄斑
	fraction	5frAkFEn	n.小部分, 片断, 分数
	fracture	5frAktFE	n.破裂, 骨折v.(使)破碎, (使)破裂
	fragile	5frAdVail	adj.易碎的, 脆的
	fragment	5frA^mEnt	n.碎片, 断片, 片段
	fragrant	5frei^rEnt	adj.芬芳的, 香的
	frame	freim	n.结构, 体格vt.构成, 设计, 制定, 使适合, 陷害vi.<英方>有成功希望n.帧,画面,框架
	framework	5freimwE:k	n.构架, 框架, 结构
	frank	frANk	adj.坦白的, 率直的, 老实的vt.免费邮寄n.免费邮寄特权
	fraud	frC:d	n.欺骗, 欺诈行为, 诡计, 骗子, 假货
	free	fri:	adj.自由的, 大方的, 免费的, 免税的, 丰富的, 空闲的vt.释放, 使自由adv.自由地, 免费
	freedom	5fri:dEm	n.自由, 自主, 直率, 特权
	freeze	fri:z	v.(使)结冰, (使)冷冻, 冻结
	freight	freit	n.货物, 船货, 运费, 货运vt.装货, 使充满, 运送
	frequency	5fri:kwEnsI	n.频率, 周率, 发生次数
	frequent	5fri:kwEnt	adj.时常发生的, 频繁的
	fresh	freF	adj.新鲜的, 无经验的, 生的, 冒失的, 鲜艳的adv.最新地, 刚刚n.开始, 泛滥
	friction	5frikFEn	n.摩擦, 摩擦力
	Friday	5fraidi	n.星期五
	fridge	fridV	n.电冰箱
	friend	frend	n.朋友, 赞助者, 助手
	friendly	5frendli	adj.友好的, 友谊的
	friendship	5frendFip	n.友谊, 友好
	fright	frait	n.惊骇, 吃惊
	frighten	5fraitn	vt.使惊吓vi.惊恐
	fringe	frindV	n.边缘, 须边, 刘海adj.边缘的, 额外的v.在...上加以缘饰, 成为...的边缘
	frog	frC^	n.青蛙vi.捕蛙
	from	frCm, frEm, frm	prep.从, 今后, 来自, 由于
	front	frQnt	n.前面, 开头, 前线, (政治上的)阵线, 态度, 外表vt.面对, 朝向, 对付vi.朝向
	frontier	5frQntjE	n.国境, 边疆, 边境
	frost	frCst, frC:st	n.霜, 霜冻, 严寒v.结霜
	frown	fraun	vi.皱眉, 蹙额, 不赞成, 反对v.皱眉
	fruit	fru:t	n.水果, 果实, 果类, 成果vi.结果实
	fruitful	5fru:tful	adj.果实结得多的, 多产的, 富有成效的
	frustrate	frQs5treit	v.挫败, 阻挠, 使感到灰心, 阻止
	fry	frai	n.油炸食物, 油炸锅, 鱼苗, 鱼秧v.油炸, 油煎
	fuel	fjuEl	n.燃料vt.加燃料, 供以燃料vi.得到燃料
	fulfil	ful5fil	vt.实践, 履行, 实行, 结束, 满足, 完成, 达到
	fulfill	ful5fil	vt.履行, 实现, 完成(计划等)
	full	ful	n.全部, 完整adj.充满的, 完全的, 丰富的, 完美的, 详尽的, 丰满的adv.完全地, 整整, 十分vt.把衣服缝得宽大
	fume	fju:m	n.(浓烈或难闻的)烟, 气体, 一阵愤怒(或不安)v.用烟熏, 冒烟, 发怒
	fun	fQn	n.娱乐, 玩笑, 嬉笑, 有趣的人或事物vi.开玩笑adj.供娱乐用的
	function	5fQNkFEn	n.官能, 功能, 作用, 职责, 典礼, 仪式, [数]函数vi.(器官等)活动, 运行, 行使职责
	fund	fQnd	n.资金, 基金v.支助, 投资
	fundamental	7fQndE5mentl	adj.基础的, 基本的n.基本原则, 基本原理
	funeral	5fju:nErEl	n.葬礼, 出殡
	funny	5fQni	adj.有趣的, 好笑的, 滑稽的, 奇异的, 古怪的n.滑稽人物
	fur	fE:	n.毛皮, 毛, 软毛
	furious	5fjuEriEs	adj.狂怒的, 狂暴的, 激烈的, 热烈兴奋的, 极为激烈
	furnace	5fE:nis	n.炉子, 熔炉
	furnish	5fE:niF	vt.供应, 提供, 装备, 布置v.供给
	furniture	5fE:nitFE	n.家具, 设备, 储藏物
	further	5fE:TE	adj.更远的, 更多的, 深一层的vt.促进, 增进, 助长adv.更进一步地, 更远地, 此外
	furthermore	f\:TE5mC:(r)	adv.此外, 而且
	fuse	fju:z	n.保险丝, 熔丝v.熔合
	fuss	fQs	n.忙乱, 大惊小怪, 大惊小怪的人v.忙乱, 大惊小怪
	futile	5fju:tail, -til	adj.琐细的, 无用的, 无效果的, (人)没有出息的
	future	5fju:tFE	n.未来, 将来, 前途, 远景adj.未来的, 将来的
	gain	^ein	n.财物的增加, 财富的获取, 利润, 腰槽, 收获vt.得到, 增进, 赚到, 开腰槽于vi.获利, 增加
	galaxy	5^AlEksi	n.星系, 银河, 一群显赫的人, 一系列光彩夺目的东西
	gallery	5^AlEri	n.走廊、戏院、教堂等中最高的楼座, 美术陈列室, 画廊, 图库
	gallon	5^AlEn	n.加仑
	gallop	5^AlEp	n.疾驰, 飞奔vi.飞驰, 急速进行, 急急忙忙地说vt.使飞跑, 迅速运输
	gamble	5^Ambl	n.冒险v.赌博, 投机, 孤注一掷
	game	^eim	n.比赛, 游戏, 竞赛, [复]运动会, 玩耍, 比分, 比赛规则, 策略vi.赌博adj.勇敢的, 有胆量的, 关于野味的, 跛的
	gang	^AN	n.(一)伙, (一)群
	gaol	dVeil, dVel	n.(<英>=jail)监狱, 拘留所vt.监禁
	gap	^Ap	n.缺口, 裂口, 间隙, 缝隙, 差距, 隔阂
	garage	5^ArB:(d)V	n.汽车间, 修车厂, 车库v.放入车库
	garbage	5^B:bidV	n.垃圾, 废物
	garden	5^B:dn	n.(菜、花)园, 花园
	garlic	5^B:lik	n.[植]大蒜, (Akkuyn sadtium), 蒜头
	garment	5^B:mEnt	n.衣服, 外衣, 外表
	gas	^As	n.气体, 煤气, 毒气, 汽油, [矿]瓦斯abbr.[军] Gunners Auxiliary-Sight, 炮长辅助瞄准镜
	gasolene	`^AsEJli:n	n.汽油, 挥发油
	gasoline	5^AsEli:n	n.汽油
	gasp	^B:sp	vi.喘息, 气喘vt.气吁吁地说
	gate	^eit	n.大门
	gather	5^ATE	n.集合, 聚集vi.集合, 聚集, 渐增, 蹙眉, 化脓vt.使聚集, 搜集, 积聚, 推断
	gauge	^edV	n.标准尺, 规格, 量规, 量表v.测量
	gay	^ei	adj.欢迎的, <美俚>同性恋的, 放荡的, 快乐的n.<美俚> 同性恋者, 尤指男性同性者
	gaze	^eiz	v.盯, 凝视n.凝视
	gear	^iE	n.齿轮, 传动装置v.调整, (使)适合, 换档
	gender	5dVendE	n.[语法] 性, <口>性别, 性, 性交
	gene	dVi:n	n.[遗传]因子, [遗传]基因
	general	5dVenErEl	n.普通, 将军, 概要adj.一般的, 普通的, 综合的, 概括的, 全面的, 大体的 n.常规
	generalise	`dVenErElaIz	v.<主英>=generalize
	generalize	5dVenErElaiz	vt.归纳, 概括, 推广, 普及
	generate	5dVenE7reit	vt.产生, 发生
	generation	7dVenE5reiFEn	n.产生, 发生, 一代, 一代人
	generator	5dVenEreitE	n.发电机, 发生器
	generous	5dVenErEs	adj.慷慨的, 大方的, 有雅量的
	genetic	dVi5netik	adj.遗传的, 起源的
	genius	5dVi:njEs	n.天才, 天赋, 天才人物
	gentle	5dVentl	adj.温和的, 文雅的
	gentleman	5dVentlmEn	n.阁下, 先生, 有身分的人, 绅士,男厕所, 男盥洗室
	gently	5dVentli	adv.轻轻地, 逐渐地
	genuine	5dVenjuin	adj.真实的, 真正的, 诚恳的
	geography	dVi5C^rEfi, 5dViC^-	n.地理学, 地理
	geology	dVi5ClEdVi	n.地质学, 地质概况
	geometry	dVi5Cmitri	n.几何学
	germ	dVE:m	n.微生物, 细菌
	gesture	5dVestFE	n.姿态, 手势, 表示v.作手势, 以手势表示
	get	^et	vt.获得, 变成, 收获, 使得, 挣得, 受到(惩罚,打击等), 染上, 抓住vi.到达, 成为, 变得n.生殖, 幼兽
	ghost	^Eust	n.鬼, 幽灵
	giant	5dVaiEnt	n.巨人, 大力士, 巨大的动物或植物, 伟人, 天才adj.庞大的, 巨大的
	gift	^ift	n.赠品, 礼物, 天赋, 才能
	gigantic	dVai5^Antik	adj.巨人般的, 巨大的
	giggle	5^i^l	v.哈哈地笑n.傻笑
	girl	^E:l	n.女孩, 少女, 女仆, (商店等的)女工作人员
	give	^iv	n.弹性, 可弯性vt.给, 授予, 供给, 献出, 让步, 引起, 发表, 捐助vi.捐赠, 让步
	glad	^lAd	adj.高兴的, 乐意的, 感到高兴的
	glamour	5^lAmE	n.[亦作glamor] 魔力, 魅力v.迷惑
	glance	^lB:ns	vi.扫视, 匆匆一看n.一瞥, 眼光, 匆匆一看
	glare	^lZE	n.眩目的光, 显眼, 怒目而视, (冰等的表面)光滑的表面v.闪耀
	glass	^lB:s	n.玻璃, 玻璃制品, 玻璃杯, 镜子, 眼镜, 望远镜, 气压计, 晴雨表vt.装玻璃于, 反映vi.成玻璃状
	glide	^laid	v.滑行, 悄悄地走, (时间)消逝, 滑翔n.滑行, 滑翔, 滑移, 滑音
	glimpse	^limps	n.一瞥, 一看v.瞥见
	glitter	5^litE	vi.闪闪发光, 闪烁, 闪光n.闪光
	global	5^lEubEl	adj.球形的, 全球的, 全世界的
	globe	^lEub	n.球体, 地球仪, 地球, 世界
	gloomy	5^lu:mi	adj.黑暗的, 阴沉的, 令人沮丧的, 阴郁的
	glorious	5^lC:riEs	adj.光荣的, 显赫的
	glory	5^lC:ri	n.荣誉, 光荣
	glove	^lQv	n.手套vt.戴手套
	glow	^lEu	vi.发光, 发热
	glue	^lu:	n.胶, 胶水vt.胶合, 粘贴, 粘合
	go	^Eu	vi.离去, 走, 进行, 变成, 趋于, 达到, 求助于, 诉诸vt.以...打赌, 忍受, 出产n.去, 进行
	goal	^Eul	n.目的, 目标, 守门员, 球门, (球赛等的)得分
	goat	^Eut	n.山羊, <俚>色鬼, <美俚>替罪羊
	god	^Cd	(godded godding)神化, 把...崇拜为神 上帝
	gold	^Euld	n.黄金, 金币adj.金的, 金制的
	golden	5^EuldEn	adj.金色的, 金黄色的, 贵重的, 极好的, 黄金的
	golf	^Clf	n.高尔夫球vi.打高尔夫球
	good	^Jd	n.好, 好事, 慷慨的行为, 好处, 利益adj.优良的, 上等的, 虔诚的, 愉快的, 慈善的, 好心的, 有益的
	goodby	9^Jd`baI	int.& n.<美>=goodbye
	goodbye	9^Jd`baI	int.再见
	goodness	5^udnis	n.仁慈, 善良
	goods	^udz	n.货物, <美俚>工具
	goose	^u:s	n.鹅, 雌鹅, 鹅肉, (裁缝用的有长曲柄的)熨斗vt.突然加大油门, 嘘骂
	gorgeous	5^C:dVEs	adj.华丽的, 灿烂的
	gossip	5^Csip	n.闲话, 闲谈
	govern	5^QvEn	v.统治, 支配, 管理
	government	5^QvEnmEnt	n.政府, <英>内阁, 政治, 政体
	governor	5^QvEnE	n.统治者, 管理者, 地方长官, 主管人员
	gown	^aun	n.长袍, 法衣, 礼服, 睡袍
	grab	^rAb	v.抢夺, 攫取, 夺取
	grace	^reis	n.优美, 雅致, 优雅
	graceful	5^reisful	adj.优美的
	gracious	5^reiFEs	adj.亲切的, 高尚的
	grade	^reid	n.等级, 级别vt.评分, 评级v.分等级
	gradual	5^rAdjuEl	adj.逐渐的, 逐步的, 渐进的
	graduate	5^rAdjueit, -dVueit	n.(大学)毕业生, 研究生v.(使)(大学)毕业
	grain	^rein	n.谷物, 谷类, 谷粒, 细粒, 颗粒, 粮食
	gram	^rAm	n.克, [植]鹰嘴豆(用作饲料)
	grammar	5^rAmE	n.文法, 有关原理的书, 入门的书
	gramme	^rAm	n.克
	grand	^rAnd	adj.盛大的, 豪华的, 重大的, 主要的, 极重要的
	grandmother	5^rAnd7mQTE	n.祖母
	grant	^rB:nt	vt.同意, 准予, 承认(某事为真)_
	grape	^reip	n.葡萄, 葡萄树
	graph	^rB:f	n.图表, 曲线图
	graphic	5^rAfik	adj.绘画似的, 图解的
	grasp	^rB:sp	vt.抓住, 抓紧, 掌握, 领会n.抓住, 抓紧, 掌握, 领会
	grass	^rB:s	n.草
	grateful	5^reitful	adj.感激的, 感谢的
	gratitude	5^rAtitju:d	n.感谢的心情
	grave	^reiv	n.墓穴, 坟墓adj.严重的, (颜色)黯淡的, (声音)低沉的v.雕刻, 铭记
	gravity	5^rAviti	n.地心引力, 重力
	gray	^rei	n.灰色, 暗淡, 灰暗adj.灰色的, 灰白的, 老的, 老练的, 阴沉的, <美俚>广告商的, 广告业的 v.(使)变灰色
	graze	^reiz	v.放牧, 吃草, 擦伤, 擦过n.放牧, 牧草, 轻擦, 擦破处
	grease	^ri:s	n.油脂, 贿赂vt.涂脂于, <俗>贿赂
	great	^reit	adj.伟大的, 大的, 强烈的, 非常的, 主要的, 大写的, 重大的, 崇高的adv.顺利地, 得意地n.全部, 大人物, 大师
	greedy	5^ri:di	adj.贪吃的, 贪婪的, 渴望的
	green	^ri:n	n.绿色, 绿色颜料, 绿色物品adj.绿色的, 未成熟的, 新鲜的, 精力旺盛的, 无经验的, 青春的
	greenhouse	5^ri:nhaus	n.温室, 花房
	greet	^ri:t	vt.问候, 向...致意, 获悉(消息), 映入眼帘
	greeting	5^ri:tiN	n.祝贺, 问候
	grey	^rei	adj.灰色的, 灰白的n.灰色
	grief	^ri:f	n.悲痛, 伤心事, 不幸, 忧伤
	grieve	^ri:v	v.(使)悲痛, (使)伤心, 忧伤
	grim	^rim	adj.严酷的
	grin	^rin	n.露齿笑, 裂口笑v.露齿而笑
	grind	^raind	v.磨(碎), 碾(碎), 折磨
	grip	^rip	vt.紧握, 紧夹n.掌握, 控制, 把手v.抓住
	groan	^rEun	n.呻吟, 叹息vi.呻吟, 受折磨, 受压迫发出嘎吱声vt.呻吟着说
	grocer	5^rEusE	n.食品商, 杂货店
	grope	^rEup	v.n.摸索
	gross	^rEus	adj.总的, 毛重的n.总额
	ground	^raJnd	n.地面, 土地, 战场, 场所, 范围adj.土地的, 地面上的vt.把...放在地上, 使搁浅, 打基础vi.具有基础, 着陆, 搁浅vbl.grind的过去式
	group	^ru:p	n.团体, 组, 团, 群, 批, [地]界, [化]基v.聚合, 成群
	grow	^rEu	vi.生长, 成长, 渐渐变得, 增长, 增高vt.种植, 栽培, 培育
	grown-up		adj.成熟的, 成年人的n.成年人
	growth	^rEuW	n.生长, 种植, 栽培, 发育, 等比级数
	guarantee	7^ArEn5ti:	n.保证, 保证书, 担保, 抵押品vt.保证, 担保
	guard	^B:d	n.守卫, 警戒, 护卫队, 防护装置vt.保卫, 看守, 当心vi.防止, 警惕, 警卫
	guess	^es	vt.猜测, 推测, 猜中, 猜对, 想, 认为vi.猜, 推测n.猜测, 推测
